,y_true,lgbm_ohe_pred,lgbm_ohe_error,xgb_ohe_pred,xgb_ohe_error,svm_ohe_pred,svm_ohe_error,lgbm_le_pred,lgbm_le_error,xgb_le_pred,xgb_le_error,svm_le_pred,svm_le_error,catboost_pred,catboost_error,difficulty_score
936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2070,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
2101,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1101,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1188,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
298,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
2520,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7
478,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1429,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
2328,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
856,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7
669,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
295,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
7,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
2648,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
2600,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
2604,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
269,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1313,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
2682,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1899,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7
2873,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7
1271,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
2019,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1480,0,1,1,0,0,1,1,0,0,0,0,1,1,1,1,4
1718,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,3
296,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1789,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
2719,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7
1063,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1374,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
2717,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1
1420,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
2331,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
2031,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
818,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,7
1180,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
2112,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
2911,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1151,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
2494,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
79,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
849,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
2268,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1870,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1790,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
2500,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7
168,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
2533,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
548,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1793,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
2870,0,1,1,1,1,1,1,0,0,1,1,1,1,0,0,5
162,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1274,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
2079,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1987,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1717,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
405,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
2745,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
2215,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
2752,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1474,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7
972,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
2566,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1736,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
111,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7
2655,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,2
597,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
1652,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
2644,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,2
991,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
759,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
2141,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
68,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7
1292,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
2406,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1569,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
328,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7
387,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1966,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
2207,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1085,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1366,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
583,1,1,0,0,1,1,0,0,1,0,1,1,0,1,0,3
2632,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
275,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
764,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
2552,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
2214,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
2457,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
22,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
2117,0,1,1,0,0,1,1,1,1,1,1,0,0,1,1,5
43,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
2255,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,5
906,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
178,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7
1205,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
198,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
89,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,4
2538,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1609,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1
1050,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1821,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
933,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
201,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1848,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,3
2903,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,2
1911,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
32,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
219,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
511,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
536,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
411,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
2857,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
2380,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
39,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1148,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
942,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
988,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1182,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
72,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7
2517,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7
393,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
271,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
570,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7
1103,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,6
206,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
2522,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1727,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7
1447,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
314,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
486,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,5
434,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2409,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
2779,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
2181,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1
647,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
2769,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7
2447,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
187,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1981,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,6
310,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1546,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
2436,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1912,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2567,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
8,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
2087,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
2357,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,2
2609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
655,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
708,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,6
2542,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,2
469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1866,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
453,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1369,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
2391,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
60,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1280,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,3
1395,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
975,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
204,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1578,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
448,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1444,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
591,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
2247,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
2092,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,3
2595,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1040,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1390,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1824,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1
1234,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
2383,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1311,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
2780,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1837,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,6
853,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1299,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
2274,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1492,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
654,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
2714,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
315,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
241,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
2308,1,0,1,0,1,1,0,0,1,1,0,1,0,0,1,4
